Feature,Coefficient,Abs_Coefficient
precipitation,7.107913042307417,7.107913042307417
avg_dam_level,2.5392888064229324,2.5392888064229324
dam_level_ma3,-0.9098876104229588,0.9098876104229588
avg_temp,-0.8857125250285979,0.8857125250285979
air_pressure,-0.6233309206430603,0.6233309206430603
humidity,-0.41062107712220597,0.41062107712220597
wind_speed,-0.3459693302035819,0.3459693302035819
humidity_ma3,-0.30914779086818645,0.30914779086818645
temp_range,-0.28879183840987027,0.28879183840987027
dam_level_lag1,0.2690398231165717,0.2690398231165717
capacity_utilization,-0.2111103681796154,0.2111103681796154
precipitation_ma3,-0.17957734927337995,0.17957734927337995
month_sin,0.09914160833745786,0.09914160833745786
month_cos,0.09362753817016556,0.09362753817016556
precipitation_lag1,0.08354544522713477,0.08354544522713477
